ratio,method,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,n
0.30,zerofill,18.181,3.551,0.5567,0.0700,50
0.30,cs,24.365,7.027,0.8339,0.1105,50
0.30,ddnm,29.258,3.648,0.8985,0.0637,50
