ratio,method,psnr_mean,psnr_std,ssim_mean,ssim_std,n
0.20,Zero-fill,14.9572,3.0809,0.4493,0.0658,50
0.20,CS-MRI (baseline),17.9173,5.8470,0.6722,0.1110,50
0.30,Zero-fill,18.1814,3.5506,0.5567,0.0700,50
0.30,CS-MRI (baseline),24.3649,7.0271,0.8339,0.1105,50
0.50,Zero-fill,23.9276,4.5385,0.7481,0.0723,50
0.50,CS-MRI (baseline),30.6441,7.1812,0.9362,0.0933,50
